0;0;0;0;land;false;unknown;0
1;192;232;253;land;false;hills;1
2;220;135;178;land;false;plains;1
3;190;248;75;land;false;plains;1
4;129;224;220;land;false;plains;1
5;203;126;180;land;false;plains;1
6;105;237;221;land;true;plains;1
7;162;168;219;land;false;plains;1
8;253;203;193;land;false;plains;1
9;242;253;79;land;true;plains;1
10;196;177;194;land;false;plains;1
11;233;240;148;land;true;plains;1
12;242;119;226;land;false;plains;1
13;246;200;102;land;false;plains;1
14;110;163;236;land;true;plains;1
15;242;239;170;land;true;plains;1
16;230;88;230;land;false;plains;1
17;181;240;198;land;false;plains;1
18;161;120;247;land;false;plains;1
19;239;24;243;land;false;plains;1
20;227;98;179;land;true;plains;1
21;209;205;93;land;false;plains;1
22;239;187;243;land;false;plains;1
23;247;211;115;land;false;plains;1
24;207;163;197;land;false;plains;1
25;111;244;232;land;false;hills;1
26;205;207;158;land;false;plains;1
27;145;176;200;land;false;plains;1
28;81;228;203;land;false;plains;1
29;143;161;232;land;false;plains;1
30;220;134;189;land;false;plains;1
31;223;68;232;land;false;hills;1
32;230;224;242;land;false;plains;1
33;251;188;172;land;false;plains;1
34;240;100;227;land;false;plains;1
35;159;228;194;land;false;plains;1
36;165;147;244;land;false;hills;1
37;179;122;202;land;false;plains;1
38;250;51;200;land;false;plains;1
39;199;107;224;land;false;plains;1
40;175;239;250;land;true;plains;1
41;223;73;229;land;true;plains;1
42;214;203;86;land;true;plains;1
43;153;116;232;land;true;plains;1
44;239;95;196;land;false;plains;1
45;169;252;172;land;false;hills;1
46;147;113;247;land;false;plains;1
47;222;111;186;land;true;plains;1
48;61;244;234;land;false;plains;1
49;212;236;248;land;false;plains;1
50;233;64;252;land;false;plains;1
51;240;225;117;land;true;plains;1
52;193;218;121;land;false;plains;1
53;192;217;233;land;false;plains;1
54;174;254;136;land;false;hills;1
55;104;239;223;land;true;plains;1
56;222;244;173;land;false;plains;1
57;190;221;192;land;false;plains;1
58;217;223;222;land;false;hills;1
59;243;248;42;land;true;plains;1
60;74;249;189;land;true;plains;1
61;175;238;109;land;false;plains;1
62;145;235;239;land;false;plains;1
63;252;61;207;land;false;hills;1
64;90;177;254;land;true;plains;1
65;161;178;234;land;true;plains;1
66;251;37;248;land;false;plains;1
67;192;192;234;land;false;plains;1
68;244;248;116;land;false;plains;1
69;206;92;221;land;true;plains;1
70;210;150;146;land;true;plains;1
71;201;212;182;land;false;plains;1
72;176;214;241;land;false;plains;1
73;153;192;202;land;false;plains;1
74;83;197;227;land;false;plains;1
75;241;124;221;land;false;plains;1
76;144;227;188;land;true;plains;1
77;90;248;207;land;false;plains;1
78;242;193;147;land;false;plains;1
79;192;185;251;land;false;plains;1
80;194;224;196;land;false;plains;1
81;228;221;198;land;false;plains;1
82;34;230;239;land;false;plains;1
83;240;185;78;land;true;plains;1
84;248;196;211;land;false;plains;1
85;146;239;118;land;false;hills;1
86;249;167;184;land;true;plains;1
87;248;169;234;land;true;plains;1
88;165;240;221;land;true;plains;1
89;203;123;195;land;false;plains;1
90;211;163;181;land;false;hills;1
91;206;237;82;land;false;plains;1
92;198;185;187;land;false;plains;1
93;159;171;196;land;false;plains;1
94;152;228;239;land;false;plains;1
95;172;196;206;land;false;plains;1
96;182;201;192;land;false;plains;1
97;179;113;219;land;false;plains;1
98;252;253;101;land;false;hills;1
99;222;210;181;land;false;plains;1
100;254;206;191;land;false;plains;1
101;245;148;214;land;false;plains;1
102;174;176;243;land;false;plains;1
103;132;238;147;land;false;plains;1
104;247;69;202;land;true;plains;1
105;252;254;240;land;true;plains;1
